na_item,geo,year,Total employment domestic concept
EMP_DC,XK,2020,0.0
EMP_DC,AT,2021,4565.57
EMP_DC,BE,2021,4957.4
EMP_DC,BG,2021,3408.42
EMP_DC,CH,2021,5108.49
EMP_DC,CY,2021,463.73
EMP_DC,CZ,2021,5279.24
EMP_DC,DE,2021,0.0
EMP_DC,DK,2021,3039.23
EMP_DC,EE,2021,648.23
EMP_DC,EL,2021,4865.6
EMP_DC,ES,2021,20072.5
EMP_DC,FI,2021,2649.7
EMP_DC,FR,2021,29395.2
EMP_DC,HR,2021,1630.56
EMP_DC,HU,2021,4681.18
EMP_DC,IE,2021,2426.53
EMP_DC,IS,2021,0.0
EMP_DC,IT,2021,25069.4
EMP_DC,LI,2021,41.35
EMP_DC,LT,2021,1386.61
EMP_DC,LU,2021,485.13
EMP_DC,LV,2021,904.31
EMP_DC,ME,2021,0.0
EMP_DC,MK,2021,792.63
EMP_DC,MT,2021,274.86
EMP_DC,NL,2021,9690.0
EMP_DC,NO,2021,2824.0
EMP_DC,PL,2021,17317.5
EMP_DC,PT,2021,4952.93
EMP_DC,RO,2021,8535.8
EMP_DC,RS,2021,3379.13
EMP_DC,SE,2021,5218.0
EMP_DC,SI,2021,1051.92
EMP_DC,SK,2021,2385.12
EMP_DC,UK,2021,0.0
EMP_DC,XK,2021,0.0
EMP_DC,AT,2022,4683.76
EMP_DC,BE,2022,5052.9
EMP_DC,BG,2022,3444.4
EMP_DC,CH,2022,5185.38
EMP_DC,CY,2022,482.52
EMP_DC,CZ,2022,5333.08
EMP_DC,DE,2022,0.0
EMP_DC,DK,2022,3160.32
EMP_DC,EE,2022,665.45
EMP_DC,EL,2022,0.0
EMP_DC,ES,2022,0.0
EMP_DC,FI,2022,2742.8
EMP_DC,FR,2022,0.0
EMP_DC,HR,2022,1665.86
EMP_DC,HU,2022,4755.84
EMP_DC,IE,2022,2594.53
EMP_DC,IS,2022,0.0
EMP_DC,IT,2022,25554.3
EMP_DC,LI,2022,42.51
EMP_DC,LT,2022,1454.98
EMP_DC,LU,2022,501.44
EMP_DC,LV,2022,906.07
EMP_DC,ME,2022,0.0
EMP_DC,MK,2022,0.0
EMP_DC,MT,2022,288.43
EMP_DC,NL,2022,0.0
EMP_DC,NO,2022,2929.0
EMP_DC,PL,2022,17512.0
EMP_DC,PT,2022,5137.9
EMP_DC,RO,2022,8599.5
EMP_DC,RS,2022,3379.5
EMP_DC,SE,2022,5400.0
EMP_DC,SI,2022,1082.44
EMP_DC,SK,2022,2427.3
EMP_DC,UK,2022,0.0
EMP_DC,XK,2022,0.0
EMP_DC,AT,2023,4722.98
EMP_DC,BE,2023,0.0
EMP_DC,BG,2023,3481.41
EMP_DC,CH,2023,5301.5
EMP_DC,CY,2023,489.41
EMP_DC,CZ,2023,5387.92
EMP_DC,DE,2023,0.0
EMP_DC,DK,2023,3202.37
EMP_DC,EE,2023,682.95
EMP_DC,EL,2023,0.0
EMP_DC,ES,2023,0.0
EMP_DC,FI,2023,2782.1
EMP_DC,FR,2023,0.0
EMP_DC,HR,2023,0.0
EMP_DC,HU,2023,0.0
EMP_DC,IE,2023,2684.2
EMP_DC,IS,2023,0.0
EMP_DC,IT,2023,26030.0
EMP_DC,LI,2023,0.0
EMP_DC,LT,2023,1475.8
EMP_DC,LU,2023,512.58
EMP_DC,LV,2023,907.42
EMP_DC,ME,2023,0.0
EMP_DC,MK,2023,0.0
EMP_DC,MT,2023,307.01
EMP_DC,NL,2023,0.0
EMP_DC,NO,2023,2968.0
EMP_DC,PL,2023,17528.9
EMP_DC,PT,2023,0.0
EMP_DC,RO,2023,0.0
EMP_DC,RS,2023,0.0
EMP_DC,SE,2023,5462.0
EMP_DC,SI,2023,1100.19
EMP_DC,SK,2023,2434.06
EMP_DC,UK,2023,0.0
EMP_DC,XK,2023,0.0
